t,data
0,0.1
0.5,0.07731969
1,0.060573903
1.5,0.064382072
2,0.042988272
2.5,0.054798747
3,0.040934858
3.5,0.066494939
4,0.07165262
4.5,0.069056658
5,0.046446297
5.5,0.047183189
6,0.035564156
6.5,0.039589389
7,0.062478445
7.5,0.041273831
8,0.046339696
8.5,0.054902248
9,0.048465452
9.5,0.046333902
10,0.03914319
10.5,0.048337364
11,0.045621881
11.5,0.049218104
12,0.044897378
12.5,0.063806686
13,0.056213115
13.5,0.059770055
14,0.052100265
14.5,0.045138036
15,0.04214933
15.5,0.034588532
16,0.053486689
16.5,0.059778875
17,0.049568617
17.5,0.048516053
18,0.047929243
18.5,0.042761505
19,0.058854809
19.5,0.063690623
20,0.055968919
20.5,0.062894228
21,0.040857627
21.5,0.047168191
22,0.077321322
22.5,0.0464882
23,0.057248639
23.5,0.048346472
24,0.04231808
24.5,0.049155008
25,0.06563963
25.5,0.047165473
26,0.050511057
26.5,0.059096205
27,0.05110547
27.5,0.052778186
28,0.043025216
28.5,0.039219973
29,0.03862073
29.5,0.047683146
30,0.040761474
30.5,0.060039816
31,0.056580309
31.5,0.035051073
32,0.04133986
32.5,0.05592327
33,0.052710901
33.5,0.053474846
34,0.053544916
34.5,0.071945136
35,0.055237248
35.5,0.048675804
36,0.048306388
36.5,0.046346327
37,0.053660877
37.5,0.038811008
38,0.045248426
38.5,0.052468777
39,0.046785261
39.5,0.050275132
40,0.04357681
40.5,0.041611867
41,0.051526839
41.5,0.038344813
42,0.034692399
42.5,0.03155435
43,0.028227488
43.5,0.052466426
44,0.036773914
44.5,0.050590034
45,0.037977458
45.5,0.045532229
46,0.039118832
46.5,0.044345722
47,0.053853629
47.5,0.054911148
48,0.054134151
48.5,0.046293158
49,0.073905665
49.5,0.06372864
50,0.052545624
50.5,0.042731729
51,0.034397287
51.5,0.05726123
52,0.073027395
52.5,0.037618531
53,0.05110961
53.5,0.05364872
54,0.04009711
54.5,0.040112156
55,0.056969901
55.5,0.049306404
56,0.039527481
56.5,0.041517478
57,0.05138928
57.5,0.056337851
58,0.05677294
58.5,0.053635006
59,0.057373746
59.5,0.066069112
60,0.049381758
60.5,0.074056904
61,0.048501852
61.5,0.052829655
62,0.035658828
62.5,0.048105248
63,0.055772178
63.5,0.046112593
64,0.059917883
64.5,0.067856464
65,0.041486686
65.5,0.038650099
66,0.067817866
66.5,0.057784114
67,0.052627947
67.5,0.029852335
68,0.046205974
68.5,0.048242706
69,0.04287544
69.5,0.04986924
70,0.060374792
70.5,0.046362575
71,0.075065579
71.5,0.065479704
72,0.05817311
72.5,0.035295729
73,0.036255227
73.5,0.037897191
74,0.04750964
74.5,0.053627856
75,0.039449765
75.5,0.057115029
76,0.062779341
76.5,0.058544365
77,0.037780682
77.5,0.061733655
78,0.038240972
78.5,0.070316014
79,0.059274278
79.5,0.079198963
80,0.061443105
80.5,0.050361526
81,0.041482494
81.5,0.034344148
82,0.047280591
82.5,0.069303566
83,0.043166706
83.5,0.043888525
84,0.047933349
84.5,0.033735579
85,0.061183019
85.5,0.047449891
86,0.0578326
86.5,0.030858297
87,0.034139018
87.5,0.043307172
88,0.042435371
88.5,0.057298443
89,0.058008139
89.5,0.041971409
90,0.056395879
90.5,0.047874036
91,0.043720764
91.5,0.048561822
92,0.06093563
92.5,0.054100654
93,0.030078546
93.5,0.064581768
94,0.059265818
94.5,0.043162242
95,0.050794556
95.5,0.052254707
96,0.044633661
96.5,0.046166342
97,0.044226068
